MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,15,"M ","ISM","M1","DO",,9.10000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,19,"M ","ISM","M1","DO",,7.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,21,"M ","ISM","M1","DO",,7.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,23,"M ","ISM","M1","DO",,7.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,0.5,"S ","ISM","M1","DO",,10.10000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,25,"M ","ISM","M1","DO",,7.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,5,"AP","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,27,"B ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,15,"BP","ISM","M1","DO",,9.10000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,1,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,2,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,3,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,6,"M ","ISM","M1","DO",,11.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,7,"M ","ISM","M1","DO",,10.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,8,"M ","ISM","M1","DO",,10.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,9,"M ","ISM","M1","DO",,10.20000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,10,"M ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,11,"M ","ISM","M1","DO",,9.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,12,"M ","ISM","M1","DO",,9.40000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,13,"M ","ISM","M1","DO",,9.40000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,14,"M ","ISM","M1","DO",,9.20000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,17,"M ","ISM","M1","DO",,9.00000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,19,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,21,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,23,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,0.5,"S ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396878,"BAY638","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",12/16/2014,11:58:00,28,6.50,13.50,25,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,9,"AP","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,26,"B ","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,17,"BP","ISM","M1","DO",,10.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,1,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,2,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,3,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,5,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,7,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,11,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,13,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,15,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,19,"M ","ISM","M1","DO",,10.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,21,"M ","ISM","M1","DO",,10.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,23,"M ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,25,"M ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396892,"BAY640","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",1/14/2015,11:58:00,28,,,0.5,"S ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,9,"AP","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,27,"B ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,19,"BP","ISM","M1","DO",,12.20000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,1,"M ","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,2,"M ","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,3,"M ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,5,"M ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,7,"M ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,11,"M ","ISM","M1","DO",,12.40000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,13,"M ","ISM","M1","DO",,12.40000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,15,"M ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,17,"M ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,21,"M ","ISM","M1","DO",,12.00000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,23,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,0.5,"S ","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396906,"BAY642","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",2/11/2015,12:13:00,28.5,,,25,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,0.5,"AP","ISM","M1","DO",,13.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,27,"B ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,13,"BP","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,1,"M ","ISM","M1","DO",,13.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,2,"M ","ISM","M1","DO",,13.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,3,"M ","ISM","M1","DO",,13.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,4,"M ","ISM","M1","DO",,13.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,5,"M ","ISM","M1","DO",,13.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,6,"M ","ISM","M1","DO",,13.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,7,"M ","ISM","M1","DO",,13.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,8,"M ","ISM","M1","DO",,13.10000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,9,"M ","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,10,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,11,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,12,"M ","ISM","M1","DO",,12.00000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,14,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,15,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,16,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,17,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,19,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,21,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,23,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,25,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396922,"BAY645","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",3/17/2015,09:43:00,28,1.50,11.50,0.5,"S ","ISM","M1","DO",,13.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,10,"AP","ISM","M1","DO",,11.40000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,27,"B ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,16,"BP","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,1,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,2,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,3,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,5,"M ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,7,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,8,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,9,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,11,"M ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,12,"M ","ISM","M1","DO",,10.40000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,13,"M ","ISM","M1","DO",,9.30000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,14,"M ","ISM","M1","DO",,9.00000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,15,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,17,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,19,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,21,"M ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,23,"M ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,25,"M ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396940,"BAY646","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",4/7/2015,10:51:00,28,11.50,14.50,0.5,"S ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396962,"BAY648","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",5/6/2015,10:55:00,27.5,6.50,8.50,5,"AP","ISM","M1","DO",,10.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396962,"BAY648","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",5/6/2015,10:55:00,27.5,6.50,8.50,26,"B ","ISM","M1","DO",,4.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396962,"BAY648","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",5/6/2015,10:55:00,27.5,6.50,8.50,10,"BP","ISM","M1","DO",,4.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396962,"BAY648","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",5/6/2015,10:55:00,27.5,6.50,8.50,1,"M ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
